legal_status,address,caretaker,date,dbh,plot_size,latitude,longitude,species_english,species_latin,year,Native,Family
DPW Maintained,498x Arkansas St,Private,02/03/1956,10,3x3,37.76004506,-122.3983204,Chinese Elm,Ulmus parvifolia,1956,Exotic,Ulmus
DPW Maintained,470 Union St,Private,11/05/1956,19,4x4,37.80073861,-122.4072641,Victorian Box,Pittosporum undulatum,1956,Exotic,Pittosporum
DPW Maintained,381 Union St,Private,11/05/1956,8,3x3,37.80081348,-122.4057006,Victorian Box,Pittosporum undulatum,1956,Exotic,Pittosporum
DPW Maintained,434 Union St,Private,11/05/1956,13,7x3,37.80082159,-122.4066028,Victorian Box,Pittosporum undulatum,1956,Exotic,Pittosporum
DPW Maintained,485 Union St,Private,29/05/1956,8,3x3,37.80061293,-122.4072924,Cajeput,Melaleuca quinquenervia,1956,Exotic,Melaleuca
DPW Maintained,485 Union St,Private,29/05/1956,8,3x3,37.80061894,-122.4072512,Cajeput,Melaleuca quinquenervia,1956,Exotic,Melaleuca
DPW Maintained,947 Bush St,Private,05/09/1956,16,3x3,37.78958809,-122.4126873,Indian Laurel Fig Tree 'Green Gem',Ficus microcarpa nitida 'Green Gem',1956,Exotic,Ficus
DPW Maintained,1419 Pacific Ave,Private,18/07/1969,13,3x3,37.79534774,-122.41886,Myoporum,Myoporum laetum,1969,Exotic,Myoporum
Permitted Site,575 Belvedere St,Private,21/08/1969,17,Width 4ft,37.76224005,-122.4479505,Tawhiwhi Pittosporum,Pittosporum tenuifolium,1969,Exotic,Pittosporum
Permitted Site,47 Vicksburg St,Private,21/08/1969,2,4x4,37.75408027,-122.4286871,Cherry,Prunus spp,1969,Exotic,Prunus
DPW Maintained,2641 Franklin St,Private,25/08/1969,20,4x5,37.79888915,-122.4258006,Victorian Box,Pittosporum undulatum,1969,Exotic,Pittosporum
DPW Maintained,2427 29th Ave,Private,28/08/1969,12,3x3,37.7420385,-122.4864416,Victorian Box,Pittosporum undulatum,1969,Exotic,Pittosporum
Permitted Site,1775 11th Ave,Private,28/08/1969,30,6x4,37.75510636,-122.467926,Flooded Box: Coolibah,Eucalyptus microtheca,1969,Exotic,Eucalyptus
Permitted Site,310 Orizaba Ave,Private,27/10/1969,14,4x5,37.71492961,-122.4625184,Olive Tree,Olea europaea,1969,Exotic,Olea
DPW Maintained,3600 Washington St,Private,27/10/1969,36,6x12,37.78935058,-122.4524865,Blackwood Acacia,Acacia melanoxylon,1969,Exotic,Acacia
Permitted Site,569 Belvedere St,Private,30/10/1969,6,Width 3ft,37.76230799,-122.4479623,Evergreen Pear,Pyrus kawakamii,1969,Exotic,Pyrus
Permitted Site,226 Farallones St,Private,02/12/1969,3,3x3,37.7141195,-122.460029,Olive Tree,Olea europaea,1969,Exotic,Olea
DPW Maintained,2635 Scott St,Private,29/12/1969,14,6x9,37.79413357,-122.4400349,Sycamore: London Plane,Platanus x hispanica,1969,Exotic,Platanus
Permitted Site,579 Castro St,Private,21/01/1970,10,3x3,37.75964924,-122.4347966,Southern Magnolia,Magnolia grandiflora,1970,Exotic,Magnolia
DPW Maintained,2324 Divisadero St,Private,02/02/1970,27,3x3,37.79120979,-122.4409703,Myoporum,Myoporum laetum,1970,Exotic,Myoporum
DPW Maintained,145 Topeka Ave,Private,07/01/1972,11,3x3,37.73373881,-122.398693,Lemon Bottlebrush,Callistemon citrinus,1972,Exotic,Callistemon
DPW Maintained,131 Topeka Ave,Private,07/01/1972,11,3x3,37.73380278,-122.3988602,Lemon Bottlebrush,Callistemon citrinus,1972,Exotic,Callistemon
DPW Maintained,137 Topeka Ave,Private,07/01/1972,11,3x3,37.73376323,-122.3987641,Lemon Bottlebrush,Callistemon citrinus,1972,Exotic,Callistemon
DPW Maintained,120 Topeka Ave,Private,07/01/1972,14,3x3,37.73374525,-122.3990089,Lemon Bottlebrush,Callistemon citrinus,1972,Exotic,Callistemon
DPW Maintained,358 San Benito Way,Private,03/02/1972,21,Width 3ft,37.73018781,-122.4672748,Brazilian Pepper,Schinus terebinthifolius,1972,Exotic,Schinus
DPW Maintained,359 San Benito Way,Private,23/02/1972,16,Width 3ft,37.72994863,-122.467281,Brazilian Pepper,Schinus terebinthifolius,1972,Exotic,Schinus
DPW Maintained,174 09th Ave,Private,27/03/1972,12,3x4,37.78513897,-122.4677289,Blackwood Acacia,Acacia melanoxylon,1972,Exotic,Acacia
