legal_status,address,caretaker,latitude,longitude,species_english,species_latin,year,Native
DPW Maintained,50 Burnside Ave,DPW,37.7347831,-122.4383647,Swamp Myrtle,Tristaniopsis laurina,1999,Exotic
DPW Maintained,4342 03rd St,Private,37.73831579,-122.3895995,Ornamental Pear,Pyrus calleryana,1999,Exotic
DPW Maintained,2000 41st Ave,Private,37.7494186,-122.4997121,Hybrid Strawberry Tree,Arbutus 'Marina',1999,Exotic
Permitted Site,3650X Rivera St,Private,37.74558793,-122.5058772,New Zealand Xmas Tree,Metrosideros excelsa,1999,Exotic
Permitted Site,3650X Rivera St,Private,37.74558793,-122.5058772,New Zealand Xmas Tree,Metrosideros excelsa,1999,Exotic
DPW Maintained,10 Rosie Lee Ln,DPW,37.73181236,-122.3797243,Lemon Bottlebrush,Callistemon citrinus,1999,Exotic
DPW Maintained,1120X Hudson Ave,DPW,37.73252507,-122.3804241,Silver Dollar Eucalyptus,Eucalyptus polyanthemos,1999,Exotic
Permitted Site,42 Baldwin Ct,Private,37.72975524,-122.3808186,Evergreen Pear,Pyrus kawakamii,1999,Exotic
DPW Maintained,1030 Oakdale Ave,DPW,37.72868701,-122.3798312,Glossy Privet,Ligustrum lucidum,1999,Exotic
DPW Maintained,550 Bay Shore Blvd,DPW,37.73915206,-122.4071854,Bronze Loquat,Eriobotrya deflexa,1999,Exotic
DPW Maintained,1125 Mendell St,DPW,37.7360921,-122.3889008,Ornamental Cherry,Prunus serrulata,1999,Exotic
Permitted Site,112 28th St,Private,37.745487,-122.4248771,Laurel Fig,Ficus nitida,1999,Exotic
Permitted Site,1135 McAllister St,Private,37.77870733,-122.4306278,Red Maple,Acer rubrum,1999,Exotic
DPW Maintained,780 Webster St,DPW,37.77758301,-122.4296264,Shamel Ash: Evergreen Ash,Fraxinus uhdei,1999,Exotic
DPW Maintained,1090X Gough St,DPW,37.78331191,-122.4241894,Sycamore: London Plane,Platanus x hispanica,1999,Exotic
DPW Maintained,1160 Webster St,DPW,37.78130402,-122.4303684,Brisbane Box,Lophostemon confertus,1999,Exotic
Permitted Site,1100X McAllister St,Private,37.77891543,-122.4300866,Brisbane Box,Lophostemon confertus,1999,Exotic
DPW Maintained,802X Webster St,DPW,37.77794032,-122.4297471,Brisbane Box,Lophostemon confertus,1999,Exotic
Permitted Site,601X Golden Gate Ave,Private,37.78103363,-122.4209567,Brisbane Box,Lophostemon confertus,1999,Exotic
DPW Maintained,3200 California St,DPW,37.78730982,-122.4474267,Yarwood Sycamore,Platanus x hispanica 'Yarwood',1999,Exotic
DPW Maintained,522 Fell St,Private,37.77554907,-122.4265568,Swamp Myrtle,Tristaniopsis laurina,1999,Exotic
Permitted Site,1040 O'Farrell St,Private,37.78473572,-122.4218868,Yarwood Sycamore,Platanus x hispanica 'Yarwood',1999,Exotic
DPW Maintained,740 Buchanan St,DPW,37.77687577,-122.4279541,Evergreen Pear,Pyrus kawakamii,1999,Exotic
DPW Maintained,200X Willow St,DPW,37.78341384,-122.4210382,Weeping Bottlebrush,Callistemon viminalis,1999,Exotic
Permitted Site,1570 Post St,Private,37.78591926,-122.427627,Mayten,Maytenus boaria,1999,Exotic
DPW Maintained,522 Fell St,Private,37.77555254,-122.4265085,Swamp Myrtle,Tristaniopsis laurina,1999,Exotic
DPW Maintained,186 Arleta Ave,Private,37.71386947,-122.4064401,California Lilac 'Ray Hartman',Ceanothus 'Ray Hartman',1999,CA Native
DPW Maintained,500 Washington St,Private,37.79574911,-122.4020429,New Zealand Xmas Tree,Metrosideros excelsa,1999,Exotic
DPW Maintained,507 Campbell Ave,Private,37.71524595,-122.4063906,Indian Hawthorn  'Majestic Beau',Rhaphiolepis Majestic Beauty,1999,Exotic
DPW Maintained,890X San Jose Ave,DPW,37.74026196,-122.4242483,Swamp Myrtle,Tristaniopsis laurina,1999,Exotic
DPW Maintained,2759 Bryant St,Private,37.75020109,-122.4087711,American Sweet Gum,Liquidambar styraciflua,1999,CA Native
DPW Maintained,10 Caine Ave,DPW,37.7174994,-122.4503769,Coast Live Oak,Quercus agrifolia,1999,SF Native
DPW Maintained,1418 Ingalls St,Private,37.73009413,-122.3831985,Crape Myrtle,Lagerstroemia indica,1999,Exotic
DPW Maintained,2711 Bryant St,DPW,37.75100454,-122.4088724,Cajeput,Melaleuca quinquenervia,1999,Exotic
DPW Maintained,1709 Oak St,Private,37.77172562,-122.4478467,Swamp Myrtle,Tristaniopsis laurina,1999,Exotic
DPW Maintained,610X Columbus Ave,DPW,37.80045424,-122.4102753,American Sweet Gum,Liquidambar styraciflua,1999,CA Native
DPW Maintained,1995 Oak St,Private,37.77120545,-122.4519064,Swamp Myrtle,Tristaniopsis laurina,1999,Exotic
DPW Maintained,474 Valencia St,DPW,37.76568261,-122.4220726,Sycamore: London Plane,Platanus x hispanica,1999,Exotic
DPW Maintained,3184 Mission St,DPW,37.74596548,-122.4197655,Sycamore: London Plane,Platanus x hispanica,1999,Exotic
DPW Maintained,1239 Ingalls St,DPW,37.73054711,-122.3817776,Photinia: Chinese photinia,Photinia fraseri,1999,CA Native
DPW Maintained,570 Francisco St,DPW,37.80460951,-122.4145805,Australian Willow,Geijera parviflora,1999,Exotic
Permitted Site,1053 Divisadero St,Private,37.77934648,-122.4390415,Yarwood Sycamore,Platanus x hispanica 'Yarwood',1999,Exotic
DPW Maintained,1031 Divisadero St,Private,37.77919565,-122.438774,Southern Magnolia,Magnolia grandiflora,1999,Exotic
DPW Maintained,1019 Divisadero St,Private,37.77906039,-122.4387388,Sycamore: London Plane,Platanus x hispanica,1999,Exotic
DPW Maintained,1045 Divisadero St,Private,37.77924999,-122.4387736,Southern Magnolia,Magnolia grandiflora,1999,Exotic
DPW Maintained,7 Castro St,DPW,37.77006463,-122.4363375,Mayten,Maytenus boaria,1999,Exotic
DPW Maintained,657 Haight St,DPW,37.77153046,-122.432991,Sweet Shade,Hymenosporum flavum,1999,Exotic
DPW Maintained,2800X Harrison St,DPW,37.7525755,-122.4119814,Hybrid Strawberry Tree,Arbutus 'Marina',1999,Exotic
