tree_id,legal_status,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude,species_latin,species_english,year
30372,DPW Maintained,498x Arkansas St,1,Sidewalk: Curb side : Cutout,Private,02/03/1956,10,3x3,37.76004506,-122.3983204,Ulmus parvifolia,Chinese Elm,1956
30460,DPW Maintained,470 Union St,1,Sidewalk: Curb side : Cutout,Private,11/05/1956,19,4x4,37.80073861,-122.4072641,Pittosporum undulatum,Victorian Box,1956
30454,DPW Maintained,381 Union St,1,Sidewalk: Curb side : Cutout,Private,11/05/1956,8,3x3,37.80081348,-122.4057006,Pittosporum undulatum,Victorian Box,1956
30428,DPW Maintained,434 Union St,1,Sidewalk: Curb side : Cutout,Private,11/05/1956,13,7x3,37.80082159,-122.4066028,Pittosporum undulatum,Victorian Box,1956
30468,DPW Maintained,485 Union St,2,Sidewalk: Curb side : Cutout,Private,29/05/1956,8,3x3,37.80061293,-122.4072924,Melaleuca quinquenervia,Cajeput,1956
30470,DPW Maintained,485 Union St,3,Sidewalk: Curb side : Cutout,Private,29/05/1956,8,3x3,37.80061894,-122.4072512,Melaleuca quinquenervia,Cajeput,1956
30490,DPW Maintained,947 Bush St,4,Sidewalk: Curb side : Cutout,Private,05/09/1956,16,3x3,37.78958809,-122.4126873,Ficus microcarpa nitida 'Green Gem',Indian Laurel Fig Tree 'Green Gem',1956
53227,DPW Maintained,1419 Pacific Ave,1,Sidewalk: Curb side : Cutout,Private,18/07/1969,13,3x3,37.79534774,-122.41886,Myoporum laetum,Myoporum,1969
233988,Permitted Site,575 Belvedere St,1,Sidewalk: Curb side : Cutout,Private,21/08/1969,17,Width 4ft,37.76224005,-122.4479505,Pittosporum tenuifolium,Tawhiwhi Pittosporum,1969
53304,Permitted Site,47 Vicksburg St,1,Sidewalk: Curb side : Cutout,Private,21/08/1969,2,4x4,37.75408027,-122.4286871,Prunus spp,Cherry,1969
53285,DPW Maintained,2641 Franklin St,1,Sidewalk: Curb side : Cutout,Private,25/08/1969,20,4x5,37.79888915,-122.4258006,Pittosporum undulatum,Victorian Box,1969
53310,DPW Maintained,2427 29th Ave,1,Sidewalk: Curb side : Cutout,Private,28/08/1969,12,3x3,37.7420385,-122.4864416,Pittosporum undulatum,Victorian Box,1969
53309,Permitted Site,1775 11th Ave,1,Sidewalk: Property side : Cutout,Private,28/08/1969,30,6x4,37.75510636,-122.467926,Eucalyptus microtheca,Flooded Box: Coolibah,1969
53477,Permitted Site,310 Orizaba Ave,1,Sidewalk: Curb side : Cutout,Private,27/10/1969,14,4x5,37.71492961,-122.4625184,Olea europaea,Olive Tree,1969
53479,DPW Maintained,3600 Washington St,1,Sidewalk: Curb side : Cutout,Private,27/10/1969,36,6x12,37.78935058,-122.4524865,Acacia melanoxylon,Blackwood Acacia,1969
240158,Permitted Site,569 Belvedere St,1,Sidewalk: Curb side : Cutout,Private,30/10/1969,6,Width 3ft,37.76230799,-122.4479623,Pyrus kawakamii,Evergreen Pear,1969
53524,Permitted Site,226 Farallones St,1,Sidewalk: Curb side : Cutout,Private,02/12/1969,3,3x3,37.7141195,-122.460029,Olea europaea,Olive Tree,1969
