tree_id,site_order,caretaker,date,dbh,plot_size,latitude,longitude,species_latin,species_english,year,neighborhood,native
21901,1.0,Residential,2000-01-01,16.0,3x3,37.7628752492237,-122.38858073863,Lophostemon confertus,Brisbane Box,2000.0,South Beach,Not Native
17770,2.0,Residential,2000-01-01,8.0,3x3,37.789068102766,-122.42441146192,Olea europaea,Olive Tree,2000.0,Nob Hill,Not Native
16452,15.0,Public Office,2000-01-01,3.0,3x3,37.7330173117391,-122.386052291775,Ulmus parvifolia,Chinese Elm,2000.0,Bayview,Not Native
17825,1.0,Residential,2000-01-07,3.0,3X3,37.7887091248695,-122.428296634483,Olea europaea,Olive Tree,2000.0,Nob Hill,Not Native
18240,6.0,Public Office,2000-01-12,3.0,4X4,37.7854609857827,-122.431209813682,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2000.0,Lower Pacific Heights,Not Native
11492,6.0,Public Office,2000-01-13,3.0,4X4,37.7402128389975,-122.376934824049,Melaleuca quinquenervia,Cajeput,2000.0,Bayview,Not Native
11491,5.0,Public Office,2000-01-13,3.0,4X4,37.7402128389975,-122.376934824049,Melaleuca quinquenervia,Cajeput,2000.0,Bayview,Not Native
13378,4.0,Public Office,2000-01-13,3.0,3X3,37.7191312087569,-122.411044830527,Arbutus 'Marina',Hybrid Strawberry Tree,2000.0,Bayshore,Not Native
11495,9.0,Public Office,2000-01-13,3.0,4X4,37.7402128389975,-122.376934824049,Melaleuca quinquenervia,Cajeput,2000.0,Bayview,Not Native
4761,1.0,Public Office,2000-01-19,20.0,3X3,37.7325832370534,-122.385355225727,Arbutus 'Marina',Hybrid Strawberry Tree,2000.0,Bayview,Not Native
11338,7.0,Public Office,2000-01-19,3.0,3X3,37.7305663998171,-122.382092440811,Arbutus 'Marina',Hybrid Strawberry Tree,2000.0,Bayview,Not Native
26099,1.0,Public Office,2000-01-19,6.0,3x3,37.7342935630106,-122.39010874709,Eriobotrya deflexa,Bronze Loquat,2000.0,Bayview,Not Native
26433,1.0,Residential,2000-01-19,3.0,3X3,37.7354260166954,-122.391949831041,Eriobotrya deflexa,Bronze Loquat,2000.0,Bayview,Not Native
26106,1.0,Residential,2000-01-19,12.0,3x3,37.7339071573226,-122.389292708309,Eriobotrya deflexa,Bronze Loquat,2000.0,Bayview,Not Native
1282,20.0,Public Office,2000-01-19,3.0,3X3,37.7108559409462,-122.468101362588,Tristaniopsis laurina,Swamp Myrtle,2000.0,Lake Merced,Not Native
17750,2.0,Residential,2000-01-20,4.0,3X3,37.7891685966102,-122.423499124012,Lophostemon confertus,Brisbane Box,2000.0,Nob Hill,Not Native
15048,1.0,Public Office,2000-01-20,6.0,3X3,37.7361462484719,-122.388858698526,Eriobotrya deflexa,Bronze Loquat,2000.0,Bayview,Not Native
11400,2.0,Public Office,2000-01-20,6.0,3X4,37.7380750992906,-122.386267489872,Lophostemon confertus,Brisbane Box,2000.0,Bayview,Not Native
