tree_id,site_order,caretaker,date,latitude,longitude,species_english,year,size,neighborhood,native
21901,1.0,Residential,2000-01-01,37.7628752492237,-122.38858073863,Brisbane Box,2000.0,medium,South Beach,Not Native
17770,2.0,Residential,2000-01-01,37.789068102766,-122.42441146192,Olive Tree,2000.0,small,Nob Hill,Not Native
16452,15.0,Public Office,2000-01-01,37.7330173117391,-122.386052291775,Chinese Elm,2000.0,small,Bayview,Not Native
17825,1.0,Residential,2000-01-07,37.7887091248695,-122.428296634483,Olive Tree,2000.0,small,Nob Hill,Not Native
18240,6.0,Public Office,2000-01-12,37.7854609857827,-122.431209813682,Kwanzan Flowering Cherry,2000.0,small,Lower Pacific Heights,Not Native
11492,6.0,Public Office,2000-01-13,37.7402128389975,-122.376934824049,Cajeput,2000.0,small,Bayview,Not Native
11491,5.0,Public Office,2000-01-13,37.7402128389975,-122.376934824049,Cajeput,2000.0,small,Bayview,Not Native
13378,4.0,Public Office,2000-01-13,37.7191312087569,-122.411044830527,Hybrid Strawberry Tree,2000.0,small,Bayshore,Not Native
11495,9.0,Public Office,2000-01-13,37.7402128389975,-122.376934824049,Cajeput,2000.0,small,Bayview,Not Native
4761,1.0,Public Office,2000-01-19,37.7325832370534,-122.385355225727,Hybrid Strawberry Tree,2000.0,medium,Bayview,Not Native
11338,7.0,Public Office,2000-01-19,37.7305663998171,-122.382092440811,Hybrid Strawberry Tree,2000.0,small,Bayview,Not Native
26099,1.0,Public Office,2000-01-19,37.7342935630106,-122.39010874709,Bronze Loquat,2000.0,small,Bayview,Not Native
26433,1.0,Residential,2000-01-19,37.7354260166954,-122.391949831041,Bronze Loquat,2000.0,small,Bayview,Not Native
26106,1.0,Residential,2000-01-19,37.7339071573226,-122.389292708309,Bronze Loquat,2000.0,medium,Bayview,Not Native
1282,20.0,Public Office,2000-01-19,37.7108559409462,-122.468101362588,Swamp Myrtle,2000.0,small,Lake Merced,Not Native
17750,2.0,Residential,2000-01-20,37.7891685966102,-122.423499124012,Brisbane Box,2000.0,small,Nob Hill,Not Native
15048,1.0,Public Office,2000-01-20,37.7361462484719,-122.388858698526,Bronze Loquat,2000.0,small,Bayview,Not Native
11400,2.0,Public Office,2000-01-20,37.7380750992906,-122.386267489872,Brisbane Box,2000.0,small,Bayview,Not Native
15051,1.0,Public Office,2000-01-20,37.736009641441,-122.388987711638,Bronze Loquat,2000.0,small,Bayview,Not Native
24354,1.0,Public Office,2000-01-21,37.7696728873349,-122.423852771601,Maidenhair Tree,2000.0,small,SoMa,Not Native
41276,2.0,Residential,2000-01-24,37.797522984554,-122.43912450099,Indian Laurel Fig Tree 'Green Gem',2000.0,small,Marina,Not Native
3945,2.0,Residential,2000-01-25,37.7668914137434,-122.435494123149,Kwanzan Flowering Cherry,2000.0,small,Castro,Not Native
1216,1.0,Residential,2000-01-25,37.711329717576,-122.4637073882,Swamp Myrtle,2000.0,small,Lake Merced,Not Native
5178,2.0,Residential,2000-01-25,37.7730947068858,-122.437166576312,Swamp Myrtle,2000.0,small,Panhandle,Not Native
4328,1.0,Residential,2000-01-26,37.7349426843331,-122.435883876812,Eucalyptus,2000.0,small,Twin Peaks,Not Native
17205,1.0,Residential,2000-01-26,37.7841712140925,-122.421506501194,Olive Tree,2000.0,small,Nob Hill,Not Native
18953,1.0,Residential,2000-01-26,37.7890128430163,-122.439891012071,Kwanzan Flowering Cherry,2000.0,small,Lower Pacific Heights,Not Native
24406,11.0,Public Office,2000-01-28,37.7196927494004,-122.472253753748,Red Flowering Gum,2000.0,small,Portola,Not Native
14895,9.0,Public Office,2000-01-28,37.7433493901711,-122.383413165805,Cork Oak,2000.0,small,Bayview,Not Native
10244,1.0,Public Office,2000-01-28,37.7729241676403,-122.42344544616,Ornamental Pear Tree 'Chanticleer',2000.0,small,Tenderloin,Not Native
11648,3.0,Public Office,2000-01-28,37.7268427672434,-122.471941747662,Red Flowering Gum,2000.0,small,Portola,Not Native
24405,10.0,Public Office,2000-01-28,37.7196927494004,-122.472253753748,Red Flowering Gum,2000.0,medium,Portola,Not Native
4556,4.0,Public Office,2000-01-29,37.7834268147862,-122.427588006915,Sweet Shade,2000.0,small,Nob Hill,Not Native
16568,2.0,Public Office,2000-01-29,37.7798724518028,-122.446373519186,Red Flowering Gum,2000.0,small,Inner Richmond,Not Native
14964,3.0,Public Office,2000-01-29,37.7409909681193,-122.384519307613,Red Flowering Gum,2000.0,small,Bayview,Not Native
16569,3.0,Public Office,2000-01-29,37.7798724518028,-122.446373519186,Red Flowering Gum,2000.0,small,Inner Richmond,Not Native
27155,4.0,Public Office,2000-01-29,37.7333706629228,-122.403846374205,Weeping Bottlebrush,2000.0,small,Bayview,Not Native
17391,2.0,Residential,2000-02-02,37.7352212149791,-122.392934998767,Southern Magnolia,2000.0,small,Bayview,Not Native
15198,1.0,Public Office,2000-02-02,37.7788821862108,-122.41147639327,Brisbane Box,2000.0,small,SoMa,Not Native
17393,4.0,Residential,2000-02-02,37.7353160745644,-122.393106950019,Southern Magnolia,2000.0,small,Bayview,Not Native
22644,1.0,Residential,2000-02-02,37.7808817933373,-122.429655131034,Swamp Myrtle,2000.0,small,Lower Pacific Heights,Not Native
12551,7.0,Public Office,2000-02-02,37.7868470540675,-122.462316907107,Brisbane Box,2000.0,medium,Inner Richmond,Not Native
6601,8.0,Public Office,2000-02-03,37.7413960662634,-122.385305868181,Maidenhair Tree,2000.0,medium,Bayview,Not Native
12151,31.0,Residential,2000-02-03,37.7352559036261,-122.386349366854,Swamp Myrtle,2000.0,small,Bayview,Not Native
6594,1.0,Public Office,2000-02-03,37.7411240357598,-122.384826027706,Blackwood Acacia,2000.0,medium,Bayview,Not Native
25937,2.0,Public Office,2000-02-03,37.7390393164014,-122.397997385997,Cajeput,2000.0,small,Bayview,Not Native
15781,1.0,Public Office,2000-02-03,37.7205288045244,-122.438128360054,Myoporum,2000.0,medium,Ingleside,Not Native
6595,2.0,Public Office,2000-02-03,37.7411618315488,-122.384890173648,Maidenhair Tree,2000.0,small,Bayview,Not Native
6596,3.0,Public Office,2000-02-03,37.7411956487572,-122.384948031546,Maidenhair Tree,2000.0,small,Bayview,Not Native
24908,1.0,Residential,2000-02-03,37.7249021144111,-122.402552170924,Freeman Maple,2000.0,small,Bayshore,Not Native
6659,7.0,Public Office,2000-02-03,37.7423772572113,-122.386996946162,Maidenhair Tree,2000.0,small,Bayview,Not Native
15785,5.0,Public Office,2000-02-03,37.7202747581414,-122.438274557422,Victorian Box,2000.0,small,Ingleside,Not Native
6600,7.0,Public Office,2000-02-03,37.7413562811582,-122.385236061921,Blackwood Acacia,2000.0,medium,Bayview,Not Native
25438,1.0,Residential,2000-02-09,37.7106548222305,-122.403844026987,American Elm,2000.0,small,Bayshore,Not Native
27448,5.0,Public Office,2000-02-09,37.7488296235385,-122.390231171446,Red Oak,2000.0,medium,Bayview,Not Native
27585,1.0,Residential,2000-02-09,37.7576962911825,-122.409485778964,Small-leaf Tristania 'Elegant',2000.0,small,Mission,Not Native
26589,1.0,Residential,2000-02-09,37.7223694528076,-122.400157976887,English Elm,2000.0,small,Bayview,Not Native
1789,10.0,Public Office,2000-02-09,37.7153072596479,-122.398892125343,Brisbane Box,2000.0,small,Bayshore,Not Native
27586,2.0,Public Office,2000-02-09,37.7578001527587,-122.409496182412,Indian Laurel Fig Tree 'Green Gem',2000.0,medium,Mission,Not Native
26213,1.0,Public Office,2000-02-11,37.7408431028252,-122.423702384264,Swamp Myrtle,2000.0,small,Mission,Not Native
16054,1.0,Residential,2000-02-11,37.7314639212093,-122.440175160965,Purple Hopseed Bush,2000.0,small,Twin Peaks,Not Native
24671,1.0,Residential,2000-02-11,37.780619079617,-122.469993981711,Swamp Myrtle,2000.0,small,Inner Richmond,Not Native
8831,2.0,Public Office,2000-02-11,37.7812539007276,-122.462357725077,Lemon Bottlebrush,2000.0,small,Inner Richmond,Not Native
27311,1.0,Public Office,2000-02-11,37.7280862997813,-122.403874899606,Photinia: Chinese photinia,2000.0,small,Bayshore,Not Native
24865,1.0,Public Office,2000-02-11,37.7281088761684,-122.403884427694,Red Maple,2000.0,small,Bayshore,Not Native
13928,4.0,Public Office,2000-02-12,37.7805838469879,-122.412186834853,Yarwood Sycamore,2000.0,medium,SoMa,Not Native
19101,1.0,Public Office,2000-02-12,37.7114773763557,-122.462106852145,Maidenhair Tree,2000.0,small,Ingleside,Not Native
