tree_id,latitude,longitude,caretaker,species_english,year,Native,Neighbourhood
40217,37.77421306,-122.5101761,Private,New Zealand Xmas Tree,1999,Exotic,Outer Richmond
40219,37.78058915,-122.5091661,Private,Pink Melaleuca,1999,Exotic,Outer Richmond
38360,37.75632403,-122.5087843,Private,Pink Melaleuca,1999,Exotic,Sunset
40218,37.78061243,-122.5086705,Private,Pink Melaleuca,1999,Exotic,Outer Richmond
38367,37.75650596,-122.5082962,Private,Australian Tea Tree,1999,Exotic,Sunset
38370,37.75650596,-122.5082962,Private,Pink Melaleuca,1999,Exotic,Sunset
38372,37.75650596,-122.5082962,Private,Pink Melaleuca,1999,Exotic,Sunset
39835,37.74845515,-122.5077643,Private,Santa Cruz Ironwood,1999,CA Native,Taraval
39836,37.74820505,-122.5077312,Private,Pink Melaleuca,1999,Exotic,Taraval
39833,37.75048363,-122.5074609,Private,New Zealand Xmas Tree,1999,Exotic,Taraval
39830,37.7509513,-122.5073226,Private,Pink Melaleuca,1999,Exotic,Taraval
39832,37.7509513,-122.5073226,Private,Pink Melaleuca,1999,Exotic,Taraval
39831,37.7509513,-122.5073226,Private,Pink Melaleuca,1999,Exotic,Taraval
40216,37.77835546,-122.507267,Private,New Zealand Xmas Tree,1999,Exotic,Outer Richmond
39834,37.74705677,-122.5070639,Private,New Zealand Xmas Tree,1999,Exotic,Taraval
40212,37.77963134,-122.5062843,Private,Pear Tree,1999,Exotic,Outer Richmond
40213,37.77959219,-122.5062824,Private,Pear Tree,1999,Exotic,Outer Richmond
40214,37.77955157,-122.5062806,Private,Strawberry Tree,1999,Exotic,Outer Richmond
40215,37.7794984,-122.506274,Private,Strawberry Tree,1999,Exotic,Outer Richmond
40210,37.78064562,-122.5061852,Private,Pink Melaleuca,1999,Exotic,Outer Richmond
40211,37.78064562,-122.5061852,Private,Pink Melaleuca,1999,Exotic,Outer Richmond
39826,37.74823963,-122.5060617,Private,Hybrid Strawberry Tree,1999,Exotic,Taraval
39829,37.74558793,-122.5058772,Private,New Zealand Xmas Tree,1999,Exotic,Taraval
39828,37.74558793,-122.5058772,Private,New Zealand Xmas Tree,1999,Exotic,Taraval
27654,37.73563921,-122.5058405,Department of Public Works,Mediterranean Fan Palm,1999,Exotic,Taraval
27653,37.73549185,-122.5054779,Department of Public Works,Mediterranean Fan Palm,1999,Exotic,Lake Merced
24747,37.77987096,-122.5051581,Department of Public Works,Primrose Tree,1999,Exotic,Outer Richmond
39817,37.74730747,-122.5051004,Private,Strawberry Tree,1999,Exotic,Taraval
39820,37.74730747,-122.5051004,Private,Dracena Palm,1999,Exotic,Taraval
