tree_id,latitude,longitude,caretaker,species_latin,species_english,year,Native
94683,37.75857992,-122.5089435,Private,Pittosporum crassifolium,Karo Tree,2010,Exotic
43057,37.75053367,-122.5073065,Private,Melaleuca nesophila,Pink Melaleuca,2010,Exotic
83676,37.74970285,-122.5051064,Private,Metrosideros excelsa,New Zealand Xmas Tree,2010,Exotic
82983,37.75852569,-122.504967,Private,Tristaniopsis laurina,Swamp Myrtle,2010,Exotic
46970,37.75528771,-122.5033402,Private,Cordyline australis,Dracena Palm,2010,Exotic
93742,37.75482733,-122.5024501,Private,Metrosideros excelsa,New Zealand Xmas Tree,2010,Exotic
93740,37.75482733,-122.5024501,Private,Metrosideros excelsa,New Zealand Xmas Tree,2010,Exotic
93738,37.75482733,-122.5024501,Private,Metrosideros excelsa,New Zealand Xmas Tree,2010,Exotic
93739,37.75482733,-122.5024501,Private,Metrosideros excelsa,New Zealand Xmas Tree,2010,Exotic
93741,37.75482733,-122.5024501,Private,Metrosideros excelsa,New Zealand Xmas Tree,2010,Exotic
46372,37.7444489,-122.500434,Private,Metrosideros excelsa,New Zealand Xmas Tree,2010,Exotic
93192,37.75360168,-122.4934472,Private,Tristaniopsis laurina,Swamp Myrtle,2010,Exotic
56872,37.75360815,-122.4933358,Private,Metrosideros excelsa,New Zealand Xmas Tree,2010,Exotic
93629,37.78442895,-122.4928845,Private,Magnolia grandiflora 'Saint Mary',Saint Mary Magnolia,2010,Exotic
94571,37.7821794,-122.4912608,Private,Acer palmatum,Japanese Maple,2010,Exotic
94570,37.78212213,-122.4912556,Private,Acer palmatum,Japanese Maple,2010,Exotic
94462,37.78183738,-122.4906715,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94125,37.7596504,-122.4906652,Private,Eriobotrya deflexa,Bronze Loquat,2010,Exotic
91419,37.75397331,-122.4905636,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94233,37.73367082,-122.4897271,Private,Pinus canariensis,Canary Island Pine,2010,Exotic
94230,37.73367082,-122.4897271,Private,Pinus canariensis,Canary Island Pine,2010,Exotic
94234,37.73406014,-122.4889745,Private,Pinus canariensis,Canary Island Pine,2010,Exotic
94231,37.73406014,-122.4889745,Private,Pinus canariensis,Canary Island Pine,2010,Exotic
94232,37.73406014,-122.4889745,Private,Pinus canariensis,Canary Island Pine,2010,Exotic
94235,37.73406014,-122.4889745,Private,Pinus canariensis,Canary Island Pine,2010,Exotic
94973,37.78868244,-122.4885345,Private,Metrosideros excelsa,New Zealand Xmas Tree,2010,Exotic
94972,37.78868244,-122.4885345,Private,Metrosideros excelsa,New Zealand Xmas Tree,2010,Exotic
93935,37.78868244,-122.4885345,Private,Metrosideros excelsa,New Zealand Xmas Tree,2010,Exotic
93933,37.78868244,-122.4885345,Private,Metrosideros excelsa,New Zealand Xmas Tree,2010,Exotic
93934,37.78868244,-122.4885345,Private,Metrosideros excelsa,New Zealand Xmas Tree,2010,Exotic
94321,37.78768016,-122.4883993,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94324,37.78768016,-122.4883993,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94322,37.78768016,-122.4883993,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94325,37.78768016,-122.4883993,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94323,37.78768016,-122.4883993,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
34184,37.78512967,-122.4883229,Private,Afrocarpus gracilior,Fern Pine,2010,Exotic
